description,age,employment_status,employment_years,income,credit_score,loan_amount,loan_term_months,loan_purpose,debt_to_income,existing_loans,collateral,revolving_utilization,delinquencies,bankruptcies,underwriter_notes,credit_health_index,approved,risk_tier,recommended_apr,default_prob,max_approved_amount
"Applicant is a 58-year-old business owner professional (31.3 years in field) requesting a $14,461 credit facility for vehicle purchase over 48 months secured by investment portfolio. Declared annual income is $104,352 against a credit score of 724 and DTI ratio of 0.14. Credit file shows no existing debt obligations, 6% revolving utilization, and with zero delinquencies. Underwriting assessment: Verified disposable cash flow comfortably covers debt service coverage ratio.",58,Business Owner,31.3,104352,724,14461,48,Vehicle Purchase,0.14,0,Investment Portfolio,0.06,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,77481
"Credit application summary: $109,488 home improvement loan sought by a 71-year-old employed individual. Repayment horizon is 24 months with cash reserve collateral. Applicant commands an annual income of $67,261 with a FICO score of 613 and debt ratio of 0.32. Borrower carries 1 existing loan liability(ies) and revolving utilization of 37%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",71,Employed,25.2,67261,613,109488,24,Home Improvement,0.32,1,Cash Reserve,0.37,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,85.8,1,Tier A+ (Prime),8.37,0.02,43282
"Loan profile: The applicant is 48 years of age, working as employed with 17.1 years of experience. Seeking $22,861 financing for home purchase across 12 monthly installments secured by commercial equipment. Earning $153,801 annually with an established credit score of 639 and monthly DTI of 0.09. The borrower currently maintains 1 existing loan liability(ies). Risk note: Strong liquidity profile and prime credit score history.",48,Employed,17.1,153801,639,22861,12,Home Purchase,0.09,1,Commercial Equipment,0.17,2,0,Strong liquidity profile and prime credit score history.,82.3,1,Tier A+ (Prime),9.14,0.023,94933
"Borrower review: 34-year-old retired requesting a $23,656 60-month loan for medical. Financial standing: $123,242 annual gross income, credit rating of 529, and leverage ratio of 0.22. Collateral posture: None. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 47% revolving usage. Prior bankruptcy recorded. Analyst review: Limited asset collateral and history of short employment duration.",34,Retired,1.8,123242,529,23656,60,Medical,0.22,2,None,0.47,0,1,Limited asset collateral and history of short employment duration.,8.7,0,Tier D (High Risk),25.34,0.94,8041
"Applicant is a 62-year-old employed professional (23.5 years in field) requesting a $10,396 credit facility for education over 24 months secured by investment portfolio. Declared annual income is $64,349 against a credit score of 659 and DTI ratio of 0.07. Credit file shows no existing debt obligations, 10% revolving utilization, and with zero delinquencies. Underwriting assessment: Solid balance sheet with multi-year steady employment and low debt obligations.",62,Employed,23.5,64349,659,10396,24,Education,0.07,0,Investment Portfolio,0.1,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,47779
"Credit application summary: $20,994 home purchase loan sought by a 27-year-old employed individual. Repayment horizon is 24 months with property / real estate collateral. Applicant commands an annual income of $79,276 with a FICO score of 524 and debt ratio of 0.24. Borrower carries 2 existing loan liability(ies) and revolving utilization of 19%. Credit notes: Moderate risk profile; requires verification of secondary liquid assets.",27,Employed,4.0,79276,524,20994,24,Home Purchase,0.24,2,Property / Real Estate,0.19,0,0,Moderate risk profile; requires verification of secondary liquid assets.,63.0,1,Tier B (Near-Prime),13.39,0.142,37457
"Loan profile: The applicant is 40 years of age, working as business owner with 13.0 years of experience. Seeking $22,933 financing for debt consolidation across 48 monthly installments without collateral backing. Earning $105,500 annually with an established credit score of 769 and monthly DTI of 0.12. The borrower currently maintains no existing debt obligations. Risk note: Strong liquidity profile and prime credit score history.",40,Business Owner,13.0,105500,769,22933,48,Debt Consolidation,0.12,0,None,0.3,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,78333
"Borrower review: 58-year-old employed requesting a $74,132 36-month loan for debt consolidation. Financial standing: $28,668 annual gross income, credit rating of 715, and leverage ratio of 0.74. Collateral posture: Property / Real Estate. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 5% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",58,Employed,25.1,28668,715,74132,36,Debt Consolidation,0.74,1,Property / Real Estate,0.05,0,0,Clean repayment history with strong collateral backing.,79.3,1,Tier A (Prime),9.8,0.031,17050
"Applicant is a 38-year-old student professional (0.0 years in field) requesting a $96,316 credit facility for home improvement over 36 months secured by property / real estate. Declared annual income is $20,234 against a credit score of 526 and DTI ratio of 1.58. Credit file shows 3 existing loan liability(ies), 47% revolving utilization, and with zero delinquencies. Underwriting assessment: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",38,Student,0.0,20234,526,96316,36,Home Improvement,1.58,3,Property / Real Estate,0.47,0,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Credit application summary: $15,825 debt consolidation loan sought by a 42-year-old self-employed individual. Repayment horizon is 48 months with property / real estate collateral. Applicant commands an annual income of $184,452 with a FICO score of 670 and debt ratio of 0.11. Borrower carries 1 existing loan liability(ies) and revolving utilization of 22%. Credit notes: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",42,Self-Employed,17.5,184452,670,15825,48,Debt Consolidation,0.11,1,Property / Real Estate,0.22,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,136955
"Loan profile: The applicant is 30 years of age, working as employed with 7.6 years of experience. Seeking $49,163 financing for home purchase across 36 monthly installments without collateral backing. Earning $46,056 annually with an established credit score of 838 and monthly DTI of 0.64. The borrower currently maintains 4 existing loan liability(ies). Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",30,Employed,7.6,46056,838,49163,36,Home Purchase,0.64,4,None,0.16,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,86.0,1,Tier A+ (Prime),8.33,0.02,29706
"Borrower review: 30-year-old freelancer requesting a $10,095 36-month loan for vehicle purchase. Financial standing: $211,441 annual gross income, credit rating of 675, and leverage ratio of 0.10. Collateral posture: Commercial Equipment. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 3% revolving usage. Analyst review: Verified disposable cash flow comfortably covers debt service coverage ratio.",30,Freelancer,1.4,211441,675,10095,36,Vehicle Purchase,0.1,2,Commercial Equipment,0.03,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,156994
"Applicant is a 43-year-old employed professional (17.7 years in field) requesting a $49,303 credit facility for commercial equipment over 60 months secured by commercial equipment. Declared annual income is $132,543 against a credit score of 607 and DTI ratio of 0.20. Credit file shows 2 existing loan liability(ies), 9% revolving utilization, and with 2 past delinquency flag(s). Underwriting assessment: Strong liquidity profile and prime credit score history.",43,Employed,17.7,132543,607,49303,60,Commercial Equipment,0.2,2,Commercial Equipment,0.09,2,0,Strong liquidity profile and prime credit score history.,93.8,1,Tier A+ (Prime),6.61,0.02,93244
"Credit application summary: $203,121 business expansion loan sought by a 55-year-old employed individual. Repayment horizon is 36 months with vehicle collateral. Applicant commands an annual income of $86,753 with a FICO score of 545 and debt ratio of 0.28. Borrower carries 1 existing loan liability(ies) and revolving utilization of 33%. Credit notes: Moderate risk profile; requires verification of secondary liquid assets.",55,Employed,10.8,86753,545,203121,36,Business Expansion,0.28,1,Vehicle,0.33,0,0,Moderate risk profile; requires verification of secondary liquid assets.,59.8,1,Tier B (Near-Prime),14.09,0.185,38908
"Loan profile: The applicant is 59 years of age, working as employed with 23.4 years of experience. Seeking $10,563 financing for debt consolidation across 24 monthly installments without collateral backing. Earning $94,699 annually with an established credit score of 548 and monthly DTI of 0.20. The borrower currently maintains 1 existing loan liability(ies). Risk note: Moderate risk profile; requires verification of secondary liquid assets.",59,Employed,23.4,94699,548,10563,24,Debt Consolidation,0.2,1,None,0.06,0,0,Moderate risk profile; requires verification of secondary liquid assets.,53.7,1,Tier B (Near-Prime),15.44,0.295,38140
"Borrower review: 43-year-old employed requesting a $18,750 60-month loan for debt consolidation. Financial standing: $42,004 annual gross income, credit rating of 726, and leverage ratio of 0.26. Collateral posture: Vehicle. Obligation structure: no existing debt obligations, with zero delinquencies, 10% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",43,Employed,7.8,42004,726,18750,60,Debt Consolidation,0.26,0,Vehicle,0.1,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,31187
"Applicant is a 22-year-old self-employed professional (0.8 years in field) requesting a $69,248 credit facility for home purchase over 60 months without collateral backing. Declared annual income is $66,133 against a credit score of 651 and DTI ratio of 0.17. Credit file shows no existing debt obligations, 17% revolving utilization, and with zero delinquencies. Underwriting assessment: Solid balance sheet with multi-year steady employment and low debt obligations.",22,Self-Employed,0.8,66133,651,69248,60,Home Purchase,0.17,0,None,0.17,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,88.2,1,Tier A+ (Prime),7.85,0.02,43746
"Credit application summary: $75,651 home purchase loan sought by a 41-year-old employed individual. Repayment horizon is 36 months with none collateral. Applicant commands an annual income of $153,701 with a FICO score of 657 and debt ratio of 0.13. Borrower carries 1 existing loan liability(ies) and revolving utilization of 41%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",41,Employed,3.5,153701,657,75651,36,Home Purchase,0.13,1,None,0.41,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,114122
"Loan profile: The applicant is 21 years of age, working as employed with 0.0 years of experience. Seeking $19,814 financing for home purchase across 60 monthly installments secured by commercial equipment. Earning $49,613 annually with an established credit score of 651 and monthly DTI of 0.41. The borrower currently maintains 1 existing loan liability(ies). Risk note: Solid balance sheet with multi-year steady employment and low debt obligations.",21,Employed,0.0,49613,651,19814,60,Home Purchase,0.41,1,Commercial Equipment,0.16,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,90.7,1,Tier A+ (Prime),7.3,0.02,33749
